episode,timestep,reward
4,300,-31111.3717
7,600,-27226.0089
12,900,-26919.6321
16,1200,-28778.9322
20,1500,-27948.818
24,1800,-31859.0395
28,2100,-24564.2223
32,2400,-25618.1201
36,2700,-26791.9598
40,3000,-24284.0262
44,3300,-25175.4905
48,3600,-27937.7293
52,3900,-24396.3714
56,4200,-24927.2244
60,4500,-23847.1981
64,4800,-25014.9285
68,5100,-25380.9865
72,5400,-25217.7619
76,5700,-25207.5258
80,6000,-24448.9516
84,6300,-22941.6081
88,6600,-25938.3005
93,6900,-24126.6413
97,7200,-25506.7581
101,7500,-25583.6642
105,7800,-24045.4499
109,8100,-23303.2121
113,8400,-26734.7155
117,8700,-23781.2111
121,9000,-26623.4316
125,9300,-25925.9975
129,9600,-24858.0369
133,9900,-21697.5264
137,10200,-26519.3586
141,10500,-24187.3201
145,10800,-24387.1666
149,11100,-25473.9541
153,11400,-23673.6641
158,11700,-24298.4785
162,12000,-25276.0931
166,12300,-21679.9644
170,12600,-25024.9652
174,12900,-24250.0434
178,13200,-23948.4896
182,13500,-24019.4843
186,13800,-23345.708
190,14100,-21620.2078
194,14400,-23131.6243
198,14700,-23425.2458
202,15000,-24510.7049
206,15300,-21845.9722
210,15600,-24901.595
214,15900,-22200.8509
218,16200,-21036.5332
222,16500,-22108.7029
226,16800,-21533.5842
229,17100,-23217.4322
232,17400,-24592.2652
235,17700,-25197.8353
239,18000,-26070.495
242,18300,-21506.1412
245,18600,-23761.5611
249,18900,-20650.2245
253,19200,-22039.1007
258,19500,-24445.7749
262,19800,-22073.1022
265,20100,-25030.7633
268,20400,-23494.9604
272,20700,-23999.1068
276,21000,-23645.6154
280,21300,-22472.664
284,21600,-23753.8897
289,21900,-22328.049
292,22200,-22514.77
296,22500,-22639.2873
299,22800,-24302.1786
304,23100,-21680.2598
308,23400,-22373.9632
313,23700,-23235.9516
317,24000,-24507.5055
322,24300,-22520.0146
326,24600,-23301.863
330,24900,-21233.2818
335,25200,-23439.2793
338,25500,-22713.9137
342,25800,-25596.1288
347,26100,-22208.1554
351,26400,-20842.724
355,26700,-21610.9572
359,27000,-22342.2571
363,27300,-20841.2436
366,27600,-23086.5175
370,27900,-21268.0391
375,28200,-22447.2306
378,28500,-19776.7643
381,28800,-23551.6967
384,29100,-23350.6465
388,29400,-22450.0046
391,29700,-22344.0422
395,30000,-21107.4584
399,30300,-22912.9736
403,30600,-21977.9439
407,30900,-20884.7919
411,31200,-23126.6155
415,31500,-21898.1758
418,31800,-20490.9557
422,32100,-21494.4816
426,32400,-22621.5357
430,32700,-20875.9075
434,33000,-26152.8212
438,33300,-20495.2163
442,33600,-19779.9922
445,33900,-20623.3965
449,34200,-21944.2692
453,34500,-20347.2093
456,34800,-19859.8009
460,35100,-20032.4271
464,35400,-23967.6219
468,35700,-21955.1969
472,36000,-21882.7541
476,36300,-19881.2602
480,36600,-21072.6883
484,36900,-19667.6692
488,37200,-18384.4984
491,37500,-19604.6287
494,37800,-23104.9523
498,38100,-21352.463
501,38400,-20514.895
504,38700,-24366.7377
508,39000,-20238.8099
512,39300,-20195.1516
515,39600,-20347.7937
519,39900,-22508.5819
523,40200,-20368.9147
527,40500,-20188.1783
531,40800,-21892.2134
535,41100,-24940.8905
539,41400,-20259.2741
543,41700,-21509.4305
547,42000,-19628.6965
551,42300,-19793.7355
556,42600,-20129.964
559,42900,-19589.9576
563,43200,-20945.9916
567,43500,-21627.4463
571,43800,-21457.1842
574,44100,-21635.9739
577,44400,-20099.3408
581,44700,-20740.8987
585,45000,-22060.5027
589,45300,-20206.54
593,45600,-19843.3543
597,45900,-19349.614
601,46200,-21262.1062
605,46500,-23669.3789
609,46800,-20980.8717
613,47100,-21214.7981
617,47400,-20919.5608
621,47700,-19523.2067
625,48000,-20538.0466
629,48300,-22226.4839
633,48600,-21713.7045
637,48900,-20620.0786
641,49200,-19251.1188
645,49500,-22074.0946
649,49800,-19751.0794
653,50100,-20062.7345
657,50400,-20490.2731
661,50700,-17796.766
665,51000,-19957.5387
669,51300,-20056.1701
673,51600,-20608.6913
677,51900,-19382.6039
681,52200,-19877.4346
685,52500,-19404.3964
689,52800,-21976.9465
692,53100,-20653.4421
696,53400,-19694.2945
700,53700,-18844.051
704,54000,-18946.407
707,54300,-19282.2264
711,54600,-17628.1273
715,54900,-21414.0069
719,55200,-19135.1738
723,55500,-18739.2986
727,55800,-20996.8385
731,56100,-19855.4695
735,56400,-23568.0926
739,56700,-20633.4713
743,57000,-19376.2497
747,57300,-20061.377
750,57600,-18025.6736
754,57900,-20960.8064
758,58200,-18753.4012
762,58500,-19208.7507
766,58800,-20545.0385
770,59100,-18935.231
774,59400,-21928.1184
778,59700,-23850.9713
782,60000,-21531.7915
786,60300,-21877.2585
790,60600,-20445.2369
794,60900,-19783.5194
797,61200,-22111.101
801,61500,-19172.2242
805,61800,-20536.7882
809,62100,-19413.2152
812,62400,-20240.4069
815,62700,-23986.2915
818,63000,-22455.6874
822,63300,-20609.8643
826,63600,-20274.6621
830,63900,-20826.398
834,64200,-19050.8276
839,64500,-20237.7546
842,64800,-18443.5833
846,65100,-20562.4262
850,65400,-20910.497
854,65700,-20866.3953
858,66000,-21779.302
862,66300,-18839.0261
866,66600,-20007.6494
870,66900,-19233.3998
872,67200,-25123.057
876,67500,-20408.4123
879,67800,-17723.4425
884,68100,-20259.5189
887,68400,-18858.0587
891,68700,-22431.1183
895,69000,-23034.806
899,69300,-21415.9512
903,69600,-21643.2757
907,69900,-21863.9842
911,70200,-23185.2039
915,70500,-19724.0223
919,70800,-20299.2815
923,71100,-17621.631
926,71400,-21210.8061
930,71700,-20346.8987
934,72000,-19853.9478
938,72300,-21681.9393
942,72600,-20904.6453
945,72900,-22733.8862
949,73200,-18742.3171
953,73500,-21215.3036
957,73800,-23449.7927
961,74100,-19802.4054
965,74400,-19509.436
969,74700,-20820.2149
973,75000,-20946.6762
977,75300,-21764.8417
981,75600,-19830.0509
985,75900,-18723.0647
989,76200,-18264.0364
992,76500,-21094.4955
995,76800,-22976.0174
999,77100,-21067.5963
1003,77400,-20436.2262
1006,77700,-19140.7858
1010,78000,-21628.3252
1014,78300,-20652.2917
1016,78600,-22874.6338
1020,78900,-19818.6237
1023,79200,-20036.1749
1027,79500,-20967.7293
1031,79800,-19635.0539
1034,80100,-20370.9972
1037,80400,-22900.9727
1041,80700,-21959.8302
1045,81000,-21569.8955
1049,81300,-20644.879
1053,81600,-20439.7381
1057,81900,-20562.2943
1061,82200,-17915.2714
1064,82500,-19345.1167
1068,82800,-22477.9657
1072,83100,-20730.6097
1076,83400,-20287.1418
1079,83700,-20527.6543
1083,84000,-18860.0602
1087,84300,-23085.6325
1090,84600,-21235.2645
1094,84900,-20242.9019
1098,85200,-20951.5133
1102,85500,-17712.4944
1106,85800,-19048.8174
1109,86100,-19166.9386
1113,86400,-20346.8515
1116,86700,-21415.3671
1119,87000,-21154.2429
1123,87300,-20947.0707
1127,87600,-19094.2252
1131,87900,-20686.7921
1135,88200,-20531.6032
1139,88500,-21723.5385
1142,88800,-20389.9278
1146,89100,-21887.3249
1150,89400,-20235.5401
1154,89700,-20953.3296
1158,90000,-20503.8521
1162,90300,-23226.7306
1165,90600,-19021.6054
1169,90900,-19620.3396
1173,91200,-20078.6401
1177,91500,-20983.288
1181,91800,-20246.2026
1184,92100,-21658.9608
1188,92400,-21373.8265
1192,92700,-20735.563
1196,93000,-19487.899
1200,93300,-20560.7186
1204,93600,-21533.877
1208,93900,-20561.6399
1211,94200,-21138.0774
1215,94500,-19808.6519
1219,94800,-23760.3394
1223,95100,-21371.4201
1227,95400,-19222.1399
1230,95700,-21726.0373
1234,96000,-18689.8706
1237,96300,-18850.3395
1241,96600,-21959.5631
1245,96900,-19033.1095
1249,97200,-21524.3408
1253,97500,-22885.556
1257,97800,-20334.7404
1261,98100,-20956.1578
1265,98400,-21173.436
1269,98700,-18546.8007
1273,99000,-21995.1941
1277,99300,-23359.2733
1281,99600,-20509.1901
1285,99900,-20566.0268
