episode,timestep,reward
1,300,-34411.5875
3,600,-29244.9071
6,900,-35161.9226
8,1200,-43961.43
10,1500,-55987.272
12,1800,-28234.4918
14,2100,-27476.5711
16,2400,-34839.7563
19,2700,-30622.2323
21,3000,-26121.3131
23,3300,-35604.6389
25,3600,-30210.4051
28,3900,-27345.5132
30,4200,-26647.3173
33,4500,-31425.7246
35,4800,-22570.8416
37,5100,-27773.8605
39,5400,-24970.8055
41,5700,-23601.0163
43,6000,-23148.0631
45,6300,-38199.9428
47,6600,-22112.5721
49,6900,-22453.5944
51,7200,-25112.5761
53,7500,-21741.0768
56,7800,-24201.1195
58,8100,-26999.1646
60,8400,-25742.7159
62,8700,-22574.9018
64,9000,-32005.2238
66,9300,-27471.0255
68,9600,-22064.0618
71,9900,-24430.3099
74,10200,-22407.2068
76,10500,-24294.12
78,10800,-26236.2748
80,11100,-27632.903
82,11400,-21628.8132
84,11700,-25186.063
86,12000,-21159.5361
88,12300,-23210.5897
90,12600,-32355.5653
92,12900,-32253.5517
94,13200,-26776.175
96,13500,-22782.482
98,13800,-22666.9792
100,14100,-22133.66
102,14400,-24505.2738
104,14700,-25733.6464
106,15000,-23476.7251
108,15300,-21800.2001
110,15600,-30399.4134
112,15900,-20318.1596
114,16200,-27802.2177
116,16500,-22986.1154
118,16800,-20823.6214
120,17100,-19247.9391
122,17400,-18429.1185
124,17700,-21323.5537
126,18000,-26192.8208
128,18300,-21781.1264
130,18600,-19884.7539
132,18900,-28299.269
134,19200,-20432.0814
136,19500,-19949.9819
138,19800,-22161.5174
140,20100,-20544.507
142,20400,-26926.8506
144,20700,-18081.6122
146,21000,-19667.2126
148,21300,-22179.1968
150,21600,-20700.2703
152,21900,-19057.9514
154,22200,-26582.5305
156,22500,-18717.5556
158,22800,-24346.3178
160,23100,-26451.4979
162,23400,-17955.9806
164,23700,-21839.7101
166,24000,-23082.3583
168,24300,-17803.9119
170,24600,-18242.6586
172,24900,-22069.7395
174,25200,-28239.609
176,25500,-17614.7018
178,25800,-22440.9912
180,26100,-24543.4592
182,26400,-18771.8164
184,26700,-16854.019
186,27000,-19815.1702
188,27300,-22286.2285
190,27600,-18629.6146
192,27900,-21350.1746
194,28200,-21871.9483
196,28500,-18717.4033
198,28800,-19587.3334
200,29100,-24159.1684
202,29400,-17121.106
204,29700,-18830.2369
206,30000,-30223.1223
208,30300,-18599.5988
210,30600,-15404.4015
212,30900,-18213.5159
214,31200,-15368.7897
216,31500,-15555.4896
218,31800,-21097.6162
220,32100,-17823.4461
222,32400,-17480.3756
224,32700,-14694.991
226,33000,-15612.5902
228,33300,-19386.5119
230,33600,-16162.0692
232,33900,-17879.0633
234,34200,-17816.3621
236,34500,-15981.2296
238,34800,-19291.9276
240,35100,-43351.669
242,35400,-21667.2713
244,35700,-26995.8905
246,36000,-25872.0917
248,36300,-18353.8666
250,36600,-19526.5243
252,36900,-16260.1792
254,37200,-17675.9695
256,37500,-15937.8912
258,37800,-18472.0213
260,38100,-17610.2691
262,38400,-20961.6805
264,38700,-19198.5283
266,39000,-16564.8101
268,39300,-15350.2491
270,39600,-15143.9827
272,39900,-15528.38
274,40200,-19016.8915
276,40500,-15460.6136
278,40800,-15345.2533
280,41100,-17163.4349
282,41400,-16412.313
284,41700,-16438.8492
286,42000,-14953.2877
288,42300,-14894.9802
290,42600,-16454.0068
292,42900,-14801.5882
294,43200,-14921.1579
296,43500,-14308.0533
298,43800,-18538.1253
300,44100,-15115.093
302,44400,-15974.1594
304,44700,-15453.5295
306,45000,-15030.0481
308,45300,-14663.9448
310,45600,-15401.433
312,45900,-18154.9365
314,46200,-19708.5825
316,46500,-17824.7967
318,46800,-15724.2164
320,47100,-17166.2248
322,47400,-16227.0488
324,47700,-15367.113
326,48000,-14611.775
328,48300,-16721.2672
330,48600,-17670.5402
332,48900,-16191.4403
334,49200,-15473.971
336,49500,-14797.6938
338,49800,-14395.9027
340,50100,-15456.4867
342,50400,-15329.3985
344,50700,-14624.9199
346,51000,-24199.1636
348,51300,-15310.7473
350,51600,-16856.1252
352,51900,-15172.8825
354,52200,-17142.4907
356,52500,-16103.0765
358,52800,-16364.8473
360,53100,-17140.4996
362,53400,-15230.4618
364,53700,-16439.3258
366,54000,-16476.4691
368,54300,-24725.6485
370,54600,-15064.3626
372,54900,-17095.0552
374,55200,-16915.2157
376,55500,-17255.5705
378,55800,-15845.8993
380,56100,-15378.9594
382,56400,-14882.2041
384,56700,-19806.4868
386,57000,-16143.5369
388,57300,-17561.7652
390,57600,-16474.9726
392,57900,-15190.6399
394,58200,-22906.6438
396,58500,-16785.6406
398,58800,-29580.5277
400,59100,-18273.0182
402,59400,-16286.8713
404,59700,-15457.0811
406,60000,-16920.0906
408,60300,-42405.3365
410,60600,-16629.8531
412,60900,-18509.0587
414,61200,-18639.6518
416,61500,-16073.8119
418,61800,-17031.4172
420,62100,-17555.0506
422,62400,-20494.5032
424,62700,-15067.0339
426,63000,-29256.0222
428,63300,-16289.3162
430,63600,-16901.6064
432,63900,-16200.8155
434,64200,-16748.2304
436,64500,-17121.7537
438,64800,-16269.5128
440,65100,-16283.2593
442,65400,-15841.4312
444,65700,-17658.5196
446,66000,-15273.0026
448,66300,-24604.3258
450,66600,-16687.7952
452,66900,-17056.6425
454,67200,-17819.8075
456,67500,-15181.5009
458,67800,-19033.4137
460,68100,-18378.92
462,68400,-15286.543
464,68700,-16297.0693
466,69000,-16511.0522
468,69300,-14950.4248
470,69600,-20120.0652
472,69900,-14951.4353
474,70200,-19331.032
476,70500,-15740.9417
478,70800,-15539.0636
480,71100,-15856.1402
482,71400,-17881.1549
484,71700,-15244.2596
486,72000,-16191.7454
488,72300,-15506.7744
490,72600,-34631.438
492,72900,-15280.5012
494,73200,-15443.5298
496,73500,-14828.9261
498,73800,-15108.0465
500,74100,-15645.2668
502,74400,-14271.4466
504,74700,-14823.5149
506,75000,-15523.0547
508,75300,-15528.9554
510,75600,-15178.5921
512,75900,-21025.3584
514,76200,-15745.4865
516,76500,-15785.4829
518,76800,-24124.6225
520,77100,-15830.3829
522,77400,-15156.9338
524,77700,-15720.8597
526,78000,-15542.2197
528,78300,-13560.3092
530,78600,-14112.5736
532,78900,-17588.9634
534,79200,-19534.6485
536,79500,-16363.1642
538,79800,-14284.0921
540,80100,-14631.019
542,80400,-14963.866
544,80700,-16823.0188
546,81000,-15861.5533
548,81300,-15033.7852
550,81600,-15253.2501
552,81900,-28604.7833
554,82200,-16187.3891
556,82500,-14592.4749
558,82800,-15191.5963
560,83100,-15271.7537
562,83400,-14467.9881
564,83700,-14343.1513
566,84000,-14321.1331
568,84300,-15787.3989
570,84600,-15242.6305
572,84900,-15004.8692
574,85200,-14151.3258
576,85500,-14791.9762
578,85800,-15454.1103
580,86100,-15136.522
582,86400,-14650.3277
584,86700,-14340.7815
586,87000,-15531.6918
588,87300,-14932.7014
590,87600,-16963.4729
592,87900,-15685.6178
594,88200,-15239.1544
596,88500,-15042.5903
598,88800,-16121.484
600,89100,-15494.7237
602,89400,-14751.2156
604,89700,-14556.4824
606,90000,-15424.8224
608,90300,-14128.3209
610,90600,-14996.3983
612,90900,-14686.6949
614,91200,-15429.7943
