episode,timestep,reward
3,300,-19560.6926
7,600,-20706.3372
10,900,-19034.1367
14,1200,-21235.0714
17,1500,-20792.2565
21,1800,-18444.0429
25,2100,-20617.999
29,2400,-20225.8537
33,2700,-20410.1055
36,3000,-20811.24
40,3300,-20555.0401
44,3600,-21523.0572
48,3900,-22668.8785
52,4200,-23148.8902
57,4500,-23392.1051
61,4800,-22586.0484
65,5100,-21583.8307
69,5400,-21781.7548
73,5700,-22714.9875
77,6000,-22094.948
81,6300,-21371.366
85,6600,-21458.3294
89,6900,-23007.772
93,7200,-21451.5929
97,7500,-22293.3867
102,7800,-21309.9367
105,8100,-21775.2759
109,8400,-22602.3352
113,8700,-22066.3113
117,9000,-24004.1789
121,9300,-20574.7761
125,9600,-22469.6641
129,9900,-18547.1175
133,10200,-22111.3558
137,10500,-23401.8158
142,10800,-22380.7429
146,11100,-23507.199
150,11400,-19388.689
154,11700,-21924.8172
158,12000,-19915.5498
162,12300,-20017.2732
165,12600,-20287.481
169,12900,-19441.4023
173,13200,-21671.016
177,13500,-20251.9185
181,13800,-21524.3084
185,14100,-22243.8509
188,14400,-22507.4012
192,14700,-19133.4335
195,15000,-23092.9732
199,15300,-20823.7213
203,15600,-21983.738
207,15900,-22875.5038
211,16200,-21353.8075
214,16500,-21174.4329
218,16800,-21546.0803
222,17100,-22081.0723
226,17400,-19331.6762
230,17700,-20371.0709
234,18000,-23220.604
238,18300,-19314.8114
242,18600,-22495.0979
246,18900,-21920.2272
250,19200,-21103.7128
254,19500,-22795.2281
258,19800,-20376.406
262,20100,-22449.042
266,20400,-22166.8601
270,20700,-20318.2729
274,21000,-22747.7497
278,21300,-23142.2814
282,21600,-18603.2422
287,21900,-20431.0329
291,22200,-19780.9676
295,22500,-20494.444
299,22800,-19781.5454
303,23100,-21342.1205
307,23400,-23503.2096
311,23700,-18368.4536
315,24000,-20310.9074
319,24300,-20647.5452
323,24600,-21323.2191
327,24900,-21864.1798
331,25200,-22144.6758
335,25500,-21279.3237
338,25800,-20895.0142
342,26100,-20280.1838
346,26400,-22351.7825
350,26700,-21769.3593
353,27000,-21747.8214
357,27300,-19904.9741
361,27600,-21280.0728
364,27900,-20575.1152
368,28200,-19853.0654
372,28500,-18112.141
375,28800,-21756.9264
379,29100,-21835.8538
383,29400,-20968.6592
387,29700,-19052.7098
391,30000,-19502.5552
395,30300,-21339.0267
399,30600,-21112.6406
403,30900,-20771.2036
407,31200,-23983.9237
410,31500,-19904.9196
413,31800,-19157.5946
416,32100,-22364.1735
420,32400,-21640.511
424,32700,-18956.3967
428,33000,-18448.7362
431,33300,-22358.4444
435,33600,-21592.2541
438,33900,-20770.2726
442,34200,-21073.5427
446,34500,-20001.4998
450,34800,-22466.9915
454,35100,-21070.0571
458,35400,-20558.3816
461,35700,-18963.4497
465,36000,-20141.1606
469,36300,-19814.2374
473,36600,-20506.1067
476,36900,-21350.0275
480,37200,-18430.1378
484,37500,-18900.7045
487,37800,-19868.307
491,38100,-21359.4358
495,38400,-19106.6042
499,38700,-21776.3938
503,39000,-20737.8119
507,39300,-20601.3417
511,39600,-20081.7195
515,39900,-17933.0312
