episode,timestep,reward
4,300,-29910.0153
7,600,-27977.8657
12,900,-28368.0229
16,1200,-26846.9432
20,1500,-30044.9581
24,1800,-29786.2807
28,2100,-28716.0194
32,2400,-28892.9011
36,2700,-29266.9447
40,3000,-26360.8331
44,3300,-27292.7297
47,3600,-28922.499
51,3900,-28233.046
55,4200,-28659.312
60,4500,-26381.4042
64,4800,-25565.3199
68,5100,-25927.1687
72,5400,-24857.4264
76,5700,-25720.9544
81,6000,-26089.8436
85,6300,-24136.1463
89,6600,-23428.7371
94,6900,-22376.2119
98,7200,-22757.6994
102,7500,-23330.1143
107,7800,-24392.9265
111,8100,-23490.0507
115,8400,-24773.6351
120,8700,-24424.228
124,9000,-26212.4467
128,9300,-23323.6638
132,9600,-23364.2328
137,9900,-25486.6127
141,10200,-25037.0566
145,10500,-22527.7198
149,10800,-24088.9451
153,11100,-23814.1724
157,11400,-24610.8624
162,11700,-22750.3476
166,12000,-23818.4324
170,12300,-22152.8859
174,12600,-25191.9145
179,12900,-25135.1388
183,13200,-24538.178
187,13500,-23164.7845
191,13800,-23814.9979
195,14100,-23614.8024
199,14400,-23547.5625
203,14700,-24852.1707
207,15000,-25070.4392
211,15300,-21888.3873
215,15600,-24003.4403
219,15900,-23967.8531
224,16200,-23940.2836
228,16500,-22675.5624
232,16800,-21724.8209
236,17100,-23343.7945
240,17400,-25499.0868
244,17700,-21476.5703
248,18000,-23339.0218
252,18300,-22445.769
256,18600,-21879.0354
260,18900,-23491.1524
264,19200,-20632.9832
268,19500,-23600.6174
272,19800,-23078.2637
276,20100,-21195.1408
280,20400,-21378.9046
284,20700,-21662.5268
289,21000,-20879.5151
293,21300,-23905.0482
297,21600,-22616.77
301,21900,-23750.2502
305,22200,-22640.949
309,22500,-23228.1426
313,22800,-21300.6494
317,23100,-24227.205
321,23400,-21683.5734
325,23700,-19576.1715
329,24000,-21516.9697
334,24300,-23607.186
338,24600,-21096.1763
342,24900,-23280.766
346,25200,-22676.0161
350,25500,-22665.0833
354,25800,-20031.1724
358,26100,-21872.2399
362,26400,-23284.8099
366,26700,-21853.1635
370,27000,-20251.861
374,27300,-21288.1385
378,27600,-23103.0533
383,27900,-20027.2437
387,28200,-22874.6339
390,28500,-19851.5233
394,28800,-19978.0428
398,29100,-22973.6874
402,29400,-21175.7867
406,29700,-22599.9116
409,30000,-21118.3963
413,30300,-23099.6985
417,30600,-23039.8282
421,30900,-22248.9049
425,31200,-19990.1739
429,31500,-21726.7936
