episode,timestep,reward
1,300,-15573.2527
3,600,-10204.1732
5,900,-24354.9722
7,1200,-32739.3602
9,1500,-19084.1751
11,1800,-12102.9881
13,2100,-19947.4682
15,2400,-11539.2411
17,2700,-23352.0276
19,3000,-15968.5544
21,3300,-13141.2845
23,3600,-10850.6953
25,3900,-15836.8973
27,4200,-19509.174
29,4500,-19500.6345
31,4800,-8574.1425
33,5100,-19747.1281
35,5400,-14808.7742
37,5700,-12007.8829
39,6000,-13706.0843
41,6300,-20714.5428
43,6600,-15145.6766
45,6900,-19209.6043
47,7200,-12540.5054
49,7500,-13842.8696
51,7800,-18657.6652
53,8100,-15570.2395
55,8400,-24585.5677
57,8700,-10653.6282
59,9000,-22215.749
61,9300,-10470.5765
63,9600,-12147.5998
65,9900,-19106.8672
67,10200,-10360.5276
69,10500,-10619.7436
71,10800,-10731.2403
73,11100,-13040.7566
75,11400,-11946.7047
77,11700,-20912.8379
79,12000,-8961.0965
81,12300,-13337.9912
83,12600,-17238.789
85,12900,-18578.7369
87,13200,-9497.3286
89,13500,-11524.2089
91,13800,-10175.0181
93,14100,-8489.8483
95,14400,-16877.9601
97,14700,-10436.8782
99,15000,-7719.167
101,15300,-9563.122
103,15600,-9232.1418
105,15900,-7251.3226
107,16200,-7923.5486
109,16500,-8916.6947
111,16800,-8331.4074
113,17100,-8284.1772
115,17400,-26569.6052
117,17700,-16391.5962
119,18000,-8817.1981
