episode,timestep,reward
1,300,-37866.0028
3,600,-36033.3098
6,900,-33252.9074
8,1200,-33133.6769
10,1500,-28546.4902
12,1800,-39386.2257
14,2100,-26028.2134
16,2400,-34005.7326
18,2700,-28295.6506
20,3000,-29986.864
22,3300,-30260.17
25,3600,-23278.8626
27,3900,-29723.8601
30,4200,-26014.6348
32,4500,-25786.6372
34,4800,-25657.6449
37,5100,-26057.1067
39,5400,-26736.4098
42,5700,-30124.3189
44,6000,-22064.0266
46,6300,-28093.0917
48,6600,-23953.2173
50,6900,-28186.1137
52,7200,-29288.2989
54,7500,-23002.914
56,7800,-21000.2164
58,8100,-21947.0969
60,8400,-25669.0648
62,8700,-20928.5055
64,9000,-22477.9056
66,9300,-19718.9447
68,9600,-28813.8296
70,9900,-20946.3422
73,10200,-22484.8657
75,10500,-20715.492
77,10800,-24469.1631
79,11100,-20399.7355
81,11400,-21451.4509
83,11700,-19903.4875
85,12000,-20394.2214
87,12300,-21404.207
89,12600,-18855.7909
91,12900,-19730.1647
94,13200,-22958.0555
96,13500,-25957.4739
98,13800,-30701.4949
100,14100,-20356.8426
102,14400,-31129.653
104,14700,-18721.6396
106,15000,-19778.7161
108,15300,-22579.4376
110,15600,-24028.0875
112,15900,-20328.447
114,16200,-18352.0646
116,16500,-22000.5195
118,16800,-21213.1853
120,17100,-25882.7697
122,17400,-30296.2555
124,17700,-30193.4164
126,18000,-21131.5405
128,18300,-20885.1042
130,18600,-19427.7902
132,18900,-30605.5175
134,19200,-20979.7009
136,19500,-28037.8968
138,19800,-24994.4712
140,20100,-18108.6116
142,20400,-19992.4556
144,20700,-19043.9868
146,21000,-21082.7861
148,21300,-38800.6144
150,21600,-21477.1358
152,21900,-20502.0769
154,22200,-19648.3239
156,22500,-27349.7269
158,22800,-24312.3515
160,23100,-26675.6522
162,23400,-22551.2234
164,23700,-22666.0698
166,24000,-21040.7507
168,24300,-22159.98
170,24600,-26610.6078
172,24900,-27985.064
174,25200,-16608.1512
176,25500,-18271.3069
178,25800,-17051.4193
180,26100,-25795.7096
182,26400,-19135.9397
184,26700,-19108.6577
186,27000,-30354.4068
188,27300,-17232.8329
190,27600,-21016.4222
192,27900,-17796.7093
194,28200,-22263.3747
196,28500,-20930.8149
198,28800,-18202.7809
200,29100,-19157.3406
202,29400,-20724.1357
204,29700,-16610.0627
206,30000,-23444.0299
208,30300,-23023.7433
210,30600,-17934.9944
212,30900,-24291.5602
214,31200,-17316.4518
216,31500,-18740.8814
218,31800,-19081.5957
220,32100,-19968.4087
222,32400,-21351.4889
224,32700,-16510.6036
226,33000,-16264.4368
228,33300,-17962.4994
230,33600,-15248.9455
232,33900,-17465.8489
234,34200,-16863.2641
236,34500,-20789.8108
238,34800,-23222.4248
240,35100,-15466.2435
242,35400,-17117.4401
244,35700,-15142.1965
246,36000,-19903.9377
248,36300,-17932.2216
250,36600,-16681.4431
252,36900,-19400.1335
254,37200,-22734.7234
256,37500,-17323.474
258,37800,-17726.6811
260,38100,-15295.5564
262,38400,-15985.0369
264,38700,-16851.5225
266,39000,-27863.7169
268,39300,-17550.9083
270,39600,-20073.1498
272,39900,-17814.916
274,40200,-16651.3134
276,40500,-16886.6142
278,40800,-16550.5235
280,41100,-16712.626
282,41400,-19045.6871
284,41700,-18211.0004
286,42000,-19412.5319
288,42300,-15240.5342
290,42600,-16313.1652
292,42900,-15944.655
294,43200,-17397.3641
296,43500,-17542.7814
298,43800,-17944.7252
300,44100,-16127.9448
302,44400,-16881.4878
304,44700,-17873.0852
306,45000,-17400.0067
308,45300,-15078.922
310,45600,-16224.9304
312,45900,-15880.4963
314,46200,-17589.7542
316,46500,-14072.607
318,46800,-16741.8065
320,47100,-16211.2733
322,47400,-15014.2585
324,47700,-16179.7643
326,48000,-15588.6661
328,48300,-14790.2953
330,48600,-24487.9609
332,48900,-16890.8652
334,49200,-16519.5585
336,49500,-14855.8878
338,49800,-15582.716
340,50100,-15639.802
342,50400,-14545.0345
344,50700,-19131.6507
346,51000,-15088.2374
348,51300,-15150.9263
350,51600,-17214.4651
352,51900,-25353.6297
354,52200,-21570.6126
356,52500,-19124.7363
358,52800,-15947.3776
360,53100,-16804.4549
362,53400,-16075.7381
364,53700,-18423.9141
366,54000,-17994.7953
368,54300,-14909.1536
370,54600,-15880.5734
372,54900,-15543.7859
374,55200,-17646.1294
376,55500,-15704.7119
378,55800,-15803.4908
380,56100,-16800.142
382,56400,-16015.2895
384,56700,-16153.5783
386,57000,-17077.3368
388,57300,-15275.2546
390,57600,-15300.5364
392,57900,-16760.5583
394,58200,-15211.3387
396,58500,-15447.5557
398,58800,-14957.9301
400,59100,-15454.4882
402,59400,-13734.1407
404,59700,-16004.7355
406,60000,-16611.5793
408,60300,-15342.3724
410,60600,-15413.3071
412,60900,-19933.5481
414,61200,-15162.0001
416,61500,-17270.2736
418,61800,-15425.5199
420,62100,-18868.4203
422,62400,-21871.5778
424,62700,-25915.4382
426,63000,-15978.7769
428,63300,-16234.4872
430,63600,-16367.0639
432,63900,-15194.3345
434,64200,-21116.1037
436,64500,-16288.1446
438,64800,-15805.7214
440,65100,-16779.5317
442,65400,-15055.2097
444,65700,-27902.6909
446,66000,-15860.2104
448,66300,-16383.3858
450,66600,-15162.2044
452,66900,-16930.3961
454,67200,-16607.3866
456,67500,-15077.9789
458,67800,-27343.9167
460,68100,-15427.5204
462,68400,-14982.9301
464,68700,-17322.2206
466,69000,-15960.3667
468,69300,-18290.0247
470,69600,-16093.4268
472,69900,-15699.8433
474,70200,-16420.7333
476,70500,-16813.2846
478,70800,-17458.5426
480,71100,-15500.2482
482,71400,-15311.8756
484,71700,-15841.2048
486,72000,-20334.4175
488,72300,-15093.4799
490,72600,-18165.116
492,72900,-14381.5505
494,73200,-15262.1001
496,73500,-15214.8651
498,73800,-15434.6952
500,74100,-13795.73
502,74400,-14303.6213
504,74700,-18654.7642
506,75000,-14489.2831
508,75300,-14790.5748
510,75600,-16341.572
512,75900,-16803.1408
514,76200,-17159.9951
516,76500,-14555.3621
518,76800,-25042.469
520,77100,-16410.1987
522,77400,-15190.5028
524,77700,-17835.022
526,78000,-20940.3058
528,78300,-14810.302
530,78600,-14513.2745
532,78900,-14646.8759
534,79200,-15933.8764
536,79500,-17771.9376
538,79800,-18743.4077
540,80100,-13559.2643
542,80400,-16027.5137
544,80700,-16911.2715
546,81000,-18319.9053
548,81300,-15834.915
550,81600,-15767.1307
552,81900,-18550.6067
554,82200,-16218.2178
556,82500,-17417.0752
558,82800,-18704.375
560,83100,-16749.2223
562,83400,-16991.9193
564,83700,-15839.6659
566,84000,-15454.7648
568,84300,-23947.658
570,84600,-18731.7579
572,84900,-14659.6119
574,85200,-15323.1387
576,85500,-16068.4395
578,85800,-17375.4664
580,86100,-16011.0136
582,86400,-16137.4261
584,86700,-13908.6115
586,87000,-16077.382
588,87300,-14220.1728
590,87600,-14426.1916
592,87900,-14863.1033
594,88200,-14736.7048
596,88500,-14390.0901
598,88800,-15323.1256
600,89100,-16601.5965
602,89400,-16373.6651
604,89700,-19013.8416
606,90000,-15510.2906
608,90300,-14192.3243
610,90600,-15416.9378
612,90900,-18452.0498
614,91200,-17786.2103
616,91500,-17534.4411
618,91800,-16373.412
620,92100,-14911.4381
622,92400,-17571.6984
624,92700,-15720.471
626,93000,-14879.8255
628,93300,-15099.1095
630,93600,-18892.5757
632,93900,-16760.046
634,94200,-14864.053
636,94500,-15827.3856
638,94800,-15174.3534
640,95100,-16700.5505
642,95400,-14865.4182
644,95700,-15431.9624
646,96000,-15293.2707
648,96300,-15122.6791
650,96600,-15112.2374
652,96900,-15995.7012
654,97200,-14760.8443
656,97500,-15313.4677
658,97800,-15045.1776
660,98100,-15312.7597
662,98400,-13836.3791
664,98700,-16124.5597
666,99000,-15576.9969
668,99300,-15071.1225
670,99600,-14667.0169
672,99900,-20804.6811
674,100200,-16334.0047
676,100500,-15301.1821
678,100800,-25978.2501
680,101100,-16708.6273
682,101400,-17882.4068
684,101700,-15787.9252
686,102000,-30129.892
688,102300,-19383.5269
690,102600,-15157.257
692,102900,-15135.9763
694,103200,-15717.2543
696,103500,-18592.0514
698,103800,-14737.9465
700,104100,-14814.3255
702,104400,-14166.1978
704,104700,-14986.1604
706,105000,-14308.7082
708,105300,-14400.6797
710,105600,-15548.4252
712,105900,-13839.1803
714,106200,-14048.4946
716,106500,-14938.184
718,106800,-16792.2444
720,107100,-15210.384
722,107400,-14211.3438
724,107700,-14299.6039
726,108000,-14319.8313
728,108300,-15021.8001
730,108600,-15624.6356
732,108900,-15087.8653
734,109200,-14512.4389
736,109500,-14834.603
738,109800,-15057.8629
740,110100,-15084.741
