episode,timestep,reward
1,300,-31787.8117
3,600,-40259.7421
6,900,-35679.5973
9,1200,-39609.1942
11,1500,-44286.1734
13,1800,-38353.2449
15,2100,-35559.2894
17,2400,-47717.4535
19,2700,-47775.846
21,3000,-35738.5726
23,3300,-12696.1625
25,3600,-26800.4887
27,3900,-26098.0216
29,4200,-25768.1334
33,4500,-23699.3745
35,4800,-39447.2492
37,5100,-26950.8249
39,5400,-23709.9424
41,5700,-23882.7239
44,6000,-21684.1756
47,6300,-19562.9666
49,6600,-24372.5067
51,6900,-21359.9374
55,7200,-14760.7266
59,7500,-9827.1585
62,7800,-11333.8826
65,8100,-15438.8655
68,8400,-28039.923
71,8700,-18592.4686
74,9000,-8167.9226
78,9300,-8628.7609
81,9600,-8277.3147
85,9900,-8838.8522
88,10200,-7007.1483
90,10500,-10830.1782
92,10800,-5102.825
94,11100,-4323.991
97,11400,-6092.4263
100,11700,-14235.1861
103,12000,-8320.1129
105,12300,-7549.8234
107,12600,-5830.2465
110,12900,-8899.2396
112,13200,-6018.8947
114,13500,-10427.856
116,13800,-4099.9219
119,14100,-10417.4139
121,14400,-8153.5636
123,14700,-6021.7711
125,15000,-4881.889
127,15300,-8628.8527
129,15600,-4548.3253
131,15900,-7371.8255
133,16200,-6756.7837
135,16500,-4662.2201
137,16800,-4560.5478
139,17100,-5683.6757
141,17400,-4993.4686
143,17700,-4059.5662
145,18000,-5270.0795
147,18300,-6559.4575
149,18600,-7138.1518
151,18900,-6047.6207
153,19200,-4581.3465
155,19500,-3735.3089
157,19800,-10115.5122
159,20100,-4078.338
161,20400,-4106.8198
163,20700,-5893.43
165,21000,-4570.2811
167,21300,-7318.6073
170,21600,-6692.2465
172,21900,-7998.8763
174,22200,-6491.1524
176,22500,-6712.2295
178,22800,-4615.6152
180,23100,-5028.7869
182,23400,-8673.6828
184,23700,-8512.6152
186,24000,-4406.6509
188,24300,-4729.496
190,24600,-3360.6618
192,24900,-10582.202
194,25200,-5023.8925
196,25500,-10351.8352
198,25800,-4551.8607
200,26100,-6457.56
202,26400,-3643.0648
204,26700,-4077.9284
206,27000,-4262.739
208,27300,-5004.6363
210,27600,-5236.7795
212,27900,-4308.0968
214,28200,-3782.8784
216,28500,-3408.6634
218,28800,-6168.1742
220,29100,-6293.5326
222,29400,-3609.5169
224,29700,-3336.2047
226,30000,-9393.7365
228,30300,-3931.9935
230,30600,-8513.9306
232,30900,-3837.2871
234,31200,-5560.3866
236,31500,-4096.2417
238,31800,-4533.9184
240,32100,-3661.0292
242,32400,-3703.9438
244,32700,-3650.2076
246,33000,-5859.4839
248,33300,-3609.7825
250,33600,-3951.0765
252,33900,-3784.1818
254,34200,-3824.9936
256,34500,-3986.4934
258,34800,-3768.4389
260,35100,-4371.2517
262,35400,-3768.7986
264,35700,-4472.5915
266,36000,-9266.3567
268,36300,-8779.1821
270,36600,-8639.324
272,36900,-4141.0476
274,37200,-3345.5
276,37500,-5645.6852
278,37800,-3582.3884
280,38100,-5956.8174
282,38400,-3685.8317
284,38700,-3571.0793
286,39000,-3841.822
288,39300,-3804.5197
290,39600,-3322.05
292,39900,-3645.2033
294,40200,-3383.359
296,40500,-4044.4512
298,40800,-3918.2885
300,41100,-5777.8981
302,41400,-5652.0972
304,41700,-6971.7935
306,42000,-3688.0255
308,42300,-3490.9644
310,42600,-6014.0648
312,42900,-17604.8756
314,43200,-3677.8308
316,43500,-4000.1621
318,43800,-3600.0017
320,44100,-8512.0417
322,44400,-8293.6233
324,44700,-3960.3866
326,45000,-3865.8795
328,45300,-5451.0328
330,45600,-3567.3828
332,45900,-3611.0604
334,46200,-3714.7068
336,46500,-3517.9105
338,46800,-3561.9154
340,47100,-3814.7659
342,47400,-6227.6231
344,47700,-6087.545
346,48000,-27511.8909
348,48300,-3660.884
350,48600,-3589.0174
352,48900,-3276.8093
354,49200,-3613.8553
356,49500,-6466.1753
358,49800,-3805.578
360,50100,-7696.5204
362,50400,-6181.8669
364,50700,-3225.1085
366,51000,-3641.7489
368,51300,-3930.9415
370,51600,-13305.94
372,51900,-4055.6543
374,52200,-3665.8549
376,52500,-24841.7058
378,52800,-5676.5288
