x,y,vx,vy,yaw,yaw_rate,wf,wr,Status,Omega,Steer
-4.57518411031262,4.006760686663045,-0.05941091721262546,-0.0008228590825198568,-0.0008425773072957285,0.00021704022947457527,-0.1159892971976586,-0.1971486656304191,7.0,0.85,0.0
-4.57518411031262,4.006760686663045,-0.05941091721262546,-0.0008228590825198568,-0.0008425773072957285,0.00021704022947457527,-0.1159892971976586,-0.1971486656304191,7.0,0.85,0.0
-4.575816357344318,4.006763694347282,-0.053552011752992595,0.0006659341214400551,-0.0008403598046423375,0.00031449865340801766,-3.723159320516531,-3.8176605753250445,7.0,0.85,0.0
-4.576447735881686,4.006769347603046,-0.05899492542231059,-0.000284985363833431,-0.0008377756948692102,-4.484537805780404e-05,-0.08354054881501805,-0.16803672634893307,7.0,0.85,0.0
-4.5770665065361085,4.006761455524907,-0.05168111594194134,-0.00019226214502636614,-0.0008385385433252617,6.700693254726596e-05,-3.6940965860894432,-3.763692490242515,7.0,0.85,0.0
-4.577611070335605,4.00675853624442,-0.05030996857098932,-0.0006223202498074596,-0.000841118063442952,-0.0002804788415667861,-3.6705551080940553,-3.726186632181215,7.0,0.85,0.0
-4.578204247739786,4.0067626883358045,-0.055362891015257897,3.579455976792197e-05,-0.0008430290516541017,-0.00017382136420482415,-0.022545937985532172,-0.07986131775079985,7.0,0.85,0.0
-4.578791370141352,4.006758493549332,-0.04895294388412799,-0.00042063394077281025,-0.000844825567916489,-5.512902214773241e-05,-3.61189460444188,-3.6869154213299673,7.0,0.85,0.0
-4.579370653780123,4.0067610549818236,-0.05364988359377568,-6.991253868890218e-05,-0.0008429281358248147,0.00010277845497086943,0.019644928967262,-0.03994994343280878,7.0,0.85,0.0
-4.57994135989375,4.006769330732872,-0.0468398408308512,0.0005190758251071134,-0.0008402067359411774,0.0006666147083083611,-3.5919277298403247,-3.6622132639535625,7.0,0.85,0.0
-4.580505711301402,4.006776722792397,-0.05345935738170971,0.0009732317514188773,-0.0008325543891130286,0.0005769437850873649,0.03943391148659203,-0.021680739078059785,7.0,0.85,0.0
-4.581079466637545,4.006781360296484,-0.0489088244950773,0.0005296063905148005,-0.0008256156683680987,0.000707487631352633,-3.5720288354498955,-3.640791943797039,7.0,0.85,0.0
-4.581653268725704,4.006789334740152,-0.05304119726710606,0.0011029471822681775,-0.0008179620702298392,0.0006969755777179624,0.06601325163822525,-0.0030270961160883125,7.0,0.85,0.0
-4.582218950552478,4.006795108566406,-0.04703500005879916,-6.579503822717392e-05,-0.000811878532422111,0.0001865463060418229,-3.543509780768195,-3.6018118925584477,7.0,0.85,0.0
-4.58270639567164,4.006797610568418,-0.04435524196735988,0.0004377135132853915,-0.0008111994401820286,4.4341170600480047e-05,-3.526358839591281,-3.604222602118412,7.0,0.85,0.0
-4.583247450411663,4.006792600143877,-0.05143828931380698,-0.001064519088707831,-0.0008120993741197128,-0.000218879464407038,0.13732319955794003,0.04085810398818235,7.0,0.85,0.0
-4.583774916727906,4.006784910099748,-0.04312669214286155,-0.00029730906392076153,-0.0008136576549256495,-0.00011617257154117281,-3.460177515238417,-3.55895059196512,7.0,0.85,0.0
-4.584293788476421,4.006779462068961,-0.04872571479649089,-0.001289814400823203,-0.0008131743004593456,0.00040805351739417386,0.2026837895300646,0.08039999051995994,7.0,0.85,0.0
-4.584797487166777,4.006766958804565,-0.040966487705149476,-0.0007735666445952575,-0.0008129884785277185,-0.00011227338076259737,-3.396799331970936,-3.516561366077812,7.0,0.85,0.0
-4.585292686592309,4.006762760758571,-0.04666902375200706,-0.0008321996893413421,-0.0008147800706435202,-8.436888260019172e-05,0.23979739341993667,0.1367992537950542,7.0,0.85,0.0
-4.585781837217604,4.006760196389562,-0.039855146168508424,0.0003989322178202443,-0.0008155199638930124,0.00010326816108824789,-3.366658137956702,-3.463879837845147,7.0,0.85,0.0
