x,y,vx,vy,yaw,yaw_rate,wf,wr,f_FL,f_FR,f_RL,f_RR,status,omega,steer,timer
-3.8977935810167397,3.984497340424675,0.03412006421020522,-0.0001105292051219218,0.0020821936873771972,-0.0006674819001363852,-0.14235535964579515,2.137087376562423,4.039752422659025,4.053762808748928,6.111457073712502,6.112708367034595,7.0,0.85,0.0,0.0
-3.8977935810167397,3.984497340424675,0.03412006421020522,-0.0001105292051219218,0.0020821936873771972,-0.0006674819001363852,-0.14235535964579515,2.137087376562423,4.039752422659025,4.053762808748928,6.111457073712502,6.112708367034595,7.0,0.85,0.0,0.011111111111111112
-3.8974149481559355,3.984504311916648,0.03391882285836936,0.00048629578649816253,0.002074442509459177,0.00026885559706016967,-0.11176555754297546,2.156693296181623,4.12269781085283,4.062198012700913,6.10311794202082,6.022306469518885,7.0,0.85,0.0,0.022222222222222223
-3.8970404540558445,3.9845040861881738,0.03320478130530256,-0.00019906377599264918,0.0020799843590478804,-0.001554480267151577,-0.3051593413338014,1.9704916120710074,4.188823032724974,4.043371646836526,6.14642192846025,5.926622941298911,7.0,0.85,0.0,0.03333333333333333
-3.8966696526044573,3.9845012996101445,0.03294128962726309,-0.0005270883713108512,0.0020794382088309654,0.0016609091135232881,-0.23780938606879043,2.0582695315111748,4.130895944492353,4.147453736334805,6.017739328554355,6.032082680790788,7.0,0.85,0.0,0.044444444444444446
-3.8963077251277434,3.9845006921571913,0.03298420948641899,-0.0007832495809097376,0.002090178806639006,0.0023583686004359132,-1.0103963123141,1.284381764328443,4.372821939228247,4.325823487142641,5.838836432353348,5.759492749146003,7.0,0.85,0.0,0.05555555555555556
-3.8959889501885825,3.9845014750873644,0.03329083805437588,0.0005411002163024848,0.0020956391969594174,-0.00030610778312041597,-1.8080573166658005,0.4949684225697917,4.272432687538188,4.336896262285359,5.802093334234635,5.890843927368361,7.0,0.85,0.0,0.06666666666666667
-3.8956440181064194,3.9844993707402563,0.03013980624491803,0.0003156182880402114,0.00207909510263808,0.0012170432065436703,-0.1541720869112806,2.124128707657769,3.494978335624808,3.888164870504596,6.174585819325198,6.738176914493935,7.0,0.85,0.0,0.07777777777777778
-3.895298915686917,3.984504106195827,0.03146034816571629,0.0006151256814559793,0.002098238280430272,0.004622785892865384,-1.4027818275645876,0.8903850931764583,4.318708360854433,4.371673891113399,5.771327868019643,5.839824501384842,7.0,0.85,0.0,0.08888888888888889
-3.894956597154085,3.9845107476431565,0.02853644174653781,0.0006397108534312555,0.0021162658011275037,0.0008423049099434806,1.2640818212798484,3.559452010329668,3.8338127764493666,3.8677077890809515,6.266834439116295,6.317115278572466,7.0,0.85,0.0,0.1
-3.894597903606433,3.9845207259002993,0.03365227617951567,0.0013667349103753425,0.002122591238188987,0.00045326137873550254,-1.7379493028758577,0.5675132633868893,4.275713420157752,4.3644620336755375,5.768868350563834,5.893147882394833,7.0,0.85,0.0,0.11111111111111112
-3.8942317290315636,3.984531202346422,0.0322854111826662,0.000175983732769272,0.0021428330188546308,0.000745921449475231,-0.28788469053667387,2.01860343014169,4.093053364671708,4.072867323416202,6.150787479267027,6.0550637212830125,7.0,0.85,0.0,0.12222222222222223
-3.8938622326524595,3.984535218523568,0.03434982011822318,0.0004604894539392161,0.0021536706283458106,0.0004218565507535805,-0.9576598460326913,1.3417122599747304,4.704782247662847,4.79243472923052,5.353135529347506,5.466869227160592,7.0,0.85,0.0,0.13333333333333333
-3.893474542660273,3.9845429682756155,0.034148874662224826,-0.0001300645355585612,0.002161639829730123,0.0007307977484638519,-0.34179528085555955,1.9475136432756444,3.615863545065171,3.829776289856334,6.27558879837132,6.577484274663186,7.0,0.85,0.0,0.14444444444444446
-3.893083030447421,3.9845459982736573,0.03677984295885058,-0.000642620783829299,0.0021735767368133764,0.008602173604290896,-2.058388111039756,0.2068901081294685,4.125118872984506,4.238960513626894,5.4459081551265385,6.050658886395854,7.0,0.85,0.0,0.15555555555555556
-3.892738282452454,3.984544247129602,0.035755829424377134,0.0003104612253507691,0.002197588969527367,-0.00404129938529206,-1.438627122427901,0.8547821591134181,4.305457309226892,4.444342838532247,2.9492909619521095,5.876035796003192,7.0,0.85,0.0,0.16666666666666669
-3.8923458832982347,3.9845481128127265,0.034610571511678005,0.0006560745781576936,0.0021759007013771882,-0.0004988052291151466,-0.5492577320645087,1.746210596083221,3.8726869332280063,3.780051177926328,6.398054159499457,6.250295714612378,7.0,0.85,0.0,0.17777777777777778
-3.891948583032216,3.9845505410385433,0.03712636848824909,5.7480733928859065e-05,0.0021834178330236054,-0.00040026792318774516,-1.5130890547548086,0.7768568926111832,4.440595464256848,4.259022830311463,5.939085965413403,5.66109321757977,7.0,0.85,0.0,0.18888888888888888
-3.8915467880098,3.98455450433484,0.0345872592797457,0.0012165404697632018,0.0021963434519314475,0.004601837236437342,-0.06619013545181607,2.2270652546161553,3.8304128691918384,3.823637272590384,6.329918153983047,6.311902785293741,7.0,0.85,0.0,0.2
