episode,timestep,reward
1,300,-5675.5709
3,600,-5652.7388
6,900,-6498.3478
8,1200,-11923.7238
11,1500,-6269.0212
13,1800,-5821.7348
15,2100,-5898.7606
18,2400,-6109.1007
20,2700,-9298.0628
22,3000,-6174.0801
24,3300,-5260.5012
27,3600,-9375.8392
29,3900,-6519.0976
31,4200,-5178.3313
33,4500,-5525.9041
35,4800,-6139.8977
37,5100,-4199.8397
39,5400,-4840.2623
41,5700,-5915.8771
43,6000,-9055.3653
45,6300,-4292.3603
47,6600,-4639.0449
49,6900,-4408.5284
51,7200,-8797.8856
53,7500,-5777.2909
55,7800,-4985.9882
58,8100,-4668.5881
60,8400,-4275.3122
62,8700,-5407.4292
64,9000,-6437.9785
66,9300,-6185.6298
68,9600,-4016.9598
70,9900,-4849.9856
72,10200,-6903.318
74,10500,-5326.9664
77,10800,-6865.0908
79,11100,-12774.7852
81,11400,-5477.234
83,11700,-4963.4395
85,12000,-4082.0965
87,12300,-5244.767
89,12600,-3875.5712
91,12900,-5280.4442
93,13200,-4732.3351
95,13500,-6862.147
97,13800,-4100.1787
99,14100,-3879.5418
101,14400,-4200.2217
103,14700,-4741.1901
105,15000,-7470.4961
107,15300,-5264.4192
109,15600,-4985.5591
111,15900,-3970.2626
113,16200,-4502.7723
115,16500,-8197.1819
117,16800,-3944.3964
119,17100,-6278.8938
121,17400,-3989.0937
123,17700,-4160.1432
125,18000,-4022.4372
127,18300,-4177.5111
129,18600,-3869.0297
131,18900,-5942.1968
133,19200,-3762.6532
135,19500,-4118.0796
137,19800,-4001.4891
139,20100,-3769.8274
141,20400,-4398.6835
143,20700,-5476.7287
145,21000,-5583.9751
147,21300,-4049.392
149,21600,-7461.84
151,21900,-3585.9229
153,22200,-4763.4752
155,22500,-4029.219
157,22800,-3373.2999
159,23100,-4058.5135
161,23400,-4081.0929
163,23700,-11667.4572
165,24000,-3427.3775
167,24300,-3395.4241
169,24600,-3812.8114
171,24900,-7637.7437
173,25200,-11316.2849
175,25500,-3442.0041
